ZIPCODE,MONTH,YEAR,CUSTOMERCLASS,COMBINED,TOTALCUSTOMERS,TOTALKWH,AVERAGEKWH
93101,1,2025,Elec- Agricultural,Y,0,0,
93101,2,2025,Elec- Agricultural,Y,0,0,
93101,3,2025,Elec- Agricultural,Y,0,0,
93110,1,2025,Elec- Agricultural,Y,0,0,
93110,2,2025,Elec- Agricultural,Y,0,0,
93110,3,2025,Elec- Agricultural,Y,0,0,
93117,1,2025,Elec- Agricultural,Y,0,0,
93117,2,2025,Elec- Agricultural,Y,0,0,
93117,3,2025,Elec- Agricultural,Y,0,0,
93202,1,2025,Elec- Agricultural,Y,0,0,
93202,2,2025,Elec- Agricultural,Y,0,0,
93202,3,2025,Elec- Agricultural,Y,0,0,
93203,1,2025,Elec- Agricultural,Y,0,0,
93203,2,2025,Elec- Agricultural,Y,0,0,
93203,3,2025,Elec- Agricultural,Y,0,0,
93204,1,2025,Elec- Agricultural,Y,0,0,
93204,2,2025,Elec- Agricultural,Y,0,0,
93204,3,2025,Elec- Agricultural,Y,0,0,
93206,1,2025,Elec- Agricultural,Y,0,0,
93206,2,2025,Elec- Agricultural,Y,0,0,
93206,3,2025,Elec- Agricultural,Y,0,0,
93210,1,2025,Elec- Agricultural,Y,0,0,
93210,2,2025,Elec- Agricultural,Y,0,0,
93210,3,2025,Elec- Agricultural,Y,0,0,
93212,1,2025,Elec- Agricultural,Y,0,0,
93212,2,2025,Elec- Agricultural,Y,0,0,
93212,3,2025,Elec- Agricultural,Y,0,0,
93215,1,2025,Elec- Agricultural,Y,0,0,
93215,2,2025,Elec- Agricultural,Y,0,0,
93215,3,2025,Elec- Agricultural,Y,0,0,
93219,1,2025,Elec- Agricultural,Y,0,0,
93219,2,2025,Elec- Agricultural,Y,0,0,
93219,3,2025,Elec- Agricultural,Y,0,0,
93224,1,2025,Elec- Agricultural,Y,0,0,
93224,2,2025,Elec- Agricultural,Y,0,0,
93224,3,2025,Elec- Agricultural,Y,0,0,
93225,3,2025,Elec- Agricultural,Y,0,0,
93230,1,2025,Elec- Agricultural,Y,727,"18,389,064","25,294"
93230,2,2025,Elec- Agricultural,Y,730,"20,410,968","27,960"
93230,3,2025,Elec- Agricultural,Y,730,"21,967,245","30,092"
93234,1,2025,Elec- Agricultural,Y,227,"4,273,806","18,827"
93234,2,2025,Elec- Agricultural,Y,225,"6,222,958","27,658"
93234,3,2025,Elec- Agricultural,Y,225,"4,618,659","20,527"
93239,1,2025,Elec- Agricultural,Y,0,0,
93239,2,2025,Elec- Agricultural,Y,0,0,
93239,3,2025,Elec- Agricultural,Y,0,0,
93241,1,2025,Elec- Agricultural,Y,0,0,
93241,2,2025,Elec- Agricultural,Y,0,0,
93241,3,2025,Elec- Agricultural,Y,0,0,
93242,1,2025,Elec- Agricultural,Y,0,0,
93242,2,2025,Elec- Agricultural,Y,0,0,
93242,3,2025,Elec- Agricultural,Y,0,0,
93243,1,2025,Elec- Agricultural,Y,0,0,
93243,2,2025,Elec- Agricultural,Y,0,0,
93243,3,2025,Elec- Agricultural,Y,0,0,
93245,1,2025,Elec- Agricultural,N,455,"2,204,499","4,845"
93245,2,2025,Elec- Agricultural,N,457,"2,780,420","6,084"
93245,3,2025,Elec- Agricultural,N,455,"3,277,396","7,203"
93249,1,2025,Elec- Agricultural,Y,0,0,
93249,2,2025,Elec- Agricultural,Y,0,0,
93249,3,2025,Elec- Agricultural,Y,0,0,
93250,1,2025,Elec- Agricultural,Y,162,"1,235,962","7,629"
93250,2,2025,Elec- Agricultural,Y,347,"2,990,673","8,619"
93250,3,2025,Elec- Agricultural,Y,0,0,
93251,1,2025,Elec- Agricultural,Y,0,0,
93251,2,2025,Elec- Agricultural,Y,0,0,
93251,3,2025,Elec- Agricultural,Y,0,0,
93252,1,2025,Elec- Agricultural,Y,0,0,
93252,2,2025,Elec- Agricultural,Y,0,0,
93252,3,2025,Elec- Agricultural,Y,0,0,
93254,1,2025,Elec- Agricultural,Y,0,0,
93254,2,2025,Elec- Agricultural,Y,0,0,
93254,3,2025,Elec- Agricultural,Y,0,0,
93256,1,2025,Elec- Agricultural,Y,0,0,
93256,2,2025,Elec- Agricultural,Y,0,0,
93256,3,2025,Elec- Agricultural,Y,0,0,
93262,1,2025,Elec- Agricultural,Y,0,0,
93262,2,2025,Elec- Agricultural,Y,0,0,
93262,3,2025,Elec- Agricultural,Y,0,0,
93263,1,2025,Elec- Agricultural,Y,419,"10,147,533","24,218"
93263,2,2025,Elec- Agricultural,Y,550,"17,539,641","31,890"
93263,3,2025,Elec- Agricultural,Y,832,"24,463,079","29,403"
93266,1,2025,Elec- Agricultural,Y,0,0,
93266,2,2025,Elec- Agricultural,Y,0,0,
93266,3,2025,Elec- Agricultural,Y,0,0,
93268,1,2025,Elec- Agricultural,Y,0,0,
93268,2,2025,Elec- Agricultural,Y,0,0,
93268,3,2025,Elec- Agricultural,Y,0,0,
93272,1,2025,Elec- Agricultural,Y,0,0,
93272,2,2025,Elec- Agricultural,Y,0,0,
93272,3,2025,Elec- Agricultural,Y,0,0,
93274,1,2025,Elec- Agricultural,Y,0,0,
93274,2,2025,Elec- Agricultural,Y,0,0,
93274,3,2025,Elec- Agricultural,Y,0,0,
93276,1,2025,Elec- Agricultural,Y,0,0,
93276,2,2025,Elec- Agricultural,Y,0,0,
93276,3,2025,Elec- Agricultural,Y,0,0,
93277,1,2025,Elec- Agricultural,Y,0,0,
93277,2,2025,Elec- Agricultural,Y,0,0,
93277,3,2025,Elec- Agricultural,Y,0,0,
93280,1,2025,Elec- Agricultural,Y,371,"7,805,617","21,039"
93280,2,2025,Elec- Agricultural,Y,372,"12,927,271","34,751"
93280,3,2025,Elec- Agricultural,Y,375,"19,422,181","51,792"
93286,1,2025,Elec- Agricultural,Y,0,0,
93286,2,2025,Elec- Agricultural,Y,0,0,
93286,3,2025,Elec- Agricultural,Y,0,0,
93291,1,2025,Elec- Agricultural,Y,0,0,
93291,2,2025,Elec- Agricultural,Y,0,0,
93291,3,2025,Elec- Agricultural,Y,0,0,
93292,1,2025,Elec- Agricultural,Y,0,0,
93292,2,2025,Elec- Agricultural,Y,0,0,
93292,3,2025,Elec- Agricultural,Y,0,0,
93301,1,2025,Elec- Agricultural,Y,75,"353,097","4,708"
93301,2,2025,Elec- Agricultural,Y,0,0,
93301,3,2025,Elec- Agricultural,Y,0,0,
93304,1,2025,Elec- Agricultural,Y,0,0,
93304,2,2025,Elec- Agricultural,Y,0,0,
93304,3,2025,Elec- Agricultural,Y,0,0,
93305,1,2025,Elec- Agricultural,Y,0,0,
93305,2,2025,Elec- Agricultural,Y,0,0,
93305,3,2025,Elec- Agricultural,Y,0,0,
93306,1,2025,Elec- Agricultural,Y,0,0,
93306,2,2025,Elec- Agricultural,Y,0,0,
93306,3,2025,Elec- Agricultural,Y,0,0,
