ZIPCODE,MONTH,YEAR,CUSTOMERCLASS,COMBINED,TOTALCUSTOMERS,TOTALKWH,AVERAGEKWH
93101,4,2025,Elec- Agricultural,Y,0,0,
93101,5,2025,Elec- Agricultural,Y,0,0,
93101,6,2025,Elec- Agricultural,Y,0,0,
93110,4,2025,Elec- Agricultural,Y,0,0,
93110,5,2025,Elec- Agricultural,Y,0,0,
93110,6,2025,Elec- Agricultural,Y,0,0,
93117,4,2025,Elec- Agricultural,Y,0,0,
93117,5,2025,Elec- Agricultural,Y,0,0,
93117,6,2025,Elec- Agricultural,Y,0,0,
93202,4,2025,Elec- Agricultural,Y,0,0,
93202,5,2025,Elec- Agricultural,Y,0,0,
93202,6,2025,Elec- Agricultural,Y,0,0,
93203,4,2025,Elec- Agricultural,Y,0,0,
93203,5,2025,Elec- Agricultural,Y,0,0,
93203,6,2025,Elec- Agricultural,Y,163,"11,141,523","68,353"
93204,4,2025,Elec- Agricultural,Y,0,0,
93204,5,2025,Elec- Agricultural,Y,0,0,
93204,6,2025,Elec- Agricultural,Y,0,0,
93206,4,2025,Elec- Agricultural,N,123,"8,161,730","66,356"
93206,5,2025,Elec- Agricultural,N,123,"10,981,771","89,283"
93206,6,2025,Elec- Agricultural,N,123,"13,012,834","105,795"
93210,4,2025,Elec- Agricultural,N,114,"4,328,859","37,972"
93210,5,2025,Elec- Agricultural,Y,0,0,
93210,6,2025,Elec- Agricultural,Y,226,"12,769,240","56,501"
93212,4,2025,Elec- Agricultural,Y,344,"18,342,733","53,322"
93212,5,2025,Elec- Agricultural,Y,289,"21,420,563","74,120"
93212,6,2025,Elec- Agricultural,Y,290,"24,563,655","84,702"
93215,4,2025,Elec- Agricultural,Y,0,0,
93215,5,2025,Elec- Agricultural,Y,0,0,
93215,6,2025,Elec- Agricultural,Y,0,0,
93219,4,2025,Elec- Agricultural,Y,0,0,
93219,5,2025,Elec- Agricultural,Y,0,0,
93219,6,2025,Elec- Agricultural,Y,0,0,
93224,4,2025,Elec- Agricultural,Y,0,0,
93224,5,2025,Elec- Agricultural,Y,0,0,
93224,6,2025,Elec- Agricultural,Y,0,0,
93225,4,2025,Elec- Agricultural,Y,0,0,
93225,5,2025,Elec- Agricultural,Y,0,0,
93225,6,2025,Elec- Agricultural,Y,0,0,
93230,4,2025,Elec- Agricultural,Y,388,"11,878,560","30,615"
93230,5,2025,Elec- Agricultural,Y,387,"17,206,062","44,460"
93230,6,2025,Elec- Agricultural,Y,387,"13,831,833","35,741"
93234,4,2025,Elec- Agricultural,Y,0,0,
93234,5,2025,Elec- Agricultural,Y,368,"12,874,793","34,986"
93234,6,2025,Elec- Agricultural,Y,0,0,
93239,4,2025,Elec- Agricultural,Y,0,0,
93239,5,2025,Elec- Agricultural,Y,0,0,
93239,6,2025,Elec- Agricultural,Y,0,0,
93241,4,2025,Elec- Agricultural,Y,0,0,
93241,5,2025,Elec- Agricultural,Y,0,0,
93241,6,2025,Elec- Agricultural,Y,0,0,
93242,4,2025,Elec- Agricultural,N,215,"3,450,247","16,048"
93242,5,2025,Elec- Agricultural,N,214,"4,491,809","20,990"
93242,6,2025,Elec- Agricultural,N,217,"4,753,885","21,907"
93243,4,2025,Elec- Agricultural,Y,0,0,
93243,5,2025,Elec- Agricultural,Y,0,0,
