ZIPCODE,MONTH,YEAR,CUSTOMERCLASS,COMBINED,TOTALCUSTOMERS,TOTALKWH,AVERAGEKWH
93101,7,2025,Elec- Agricultural,Y,0,0,
93101,8,2025,Elec- Agricultural,Y,0,0,
93101,9,2025,Elec- Agricultural,Y,0,0,
93110,7,2025,Elec- Agricultural,Y,0,0,
93110,8,2025,Elec- Agricultural,Y,0,0,
93110,9,2025,Elec- Agricultural,Y,0,0,
93117,7,2025,Elec- Agricultural,Y,0,0,
93117,8,2025,Elec- Agricultural,Y,0,0,
93117,9,2025,Elec- Agricultural,Y,0,0,
93202,7,2025,Elec- Agricultural,Y,0,0,
93202,8,2025,Elec- Agricultural,Y,0,0,
93202,9,2025,Elec- Agricultural,Y,0,0,
93203,7,2025,Elec- Agricultural,Y,0,0,
93203,8,2025,Elec- Agricultural,Y,0,0,
93203,9,2025,Elec- Agricultural,Y,0,0,
93204,7,2025,Elec- Agricultural,Y,0,0,
93204,8,2025,Elec- Agricultural,Y,0,0,
93204,9,2025,Elec- Agricultural,Y,0,0,
93206,7,2025,Elec- Agricultural,N,123,"13,876,888","112,820"
93206,8,2025,Elec- Agricultural,N,122,"13,202,222","108,215"
93206,9,2025,Elec- Agricultural,N,122,"8,827,422","72,356"
93210,7,2025,Elec- Agricultural,N,114,"8,565,605","75,137"
93210,8,2025,Elec- Agricultural,Y,151,"11,494,872","76,125"
93210,9,2025,Elec- Agricultural,Y,151,"7,791,883","51,602"
93212,7,2025,Elec- Agricultural,Y,291,"27,361,374","94,025"
93212,8,2025,Elec- Agricultural,Y,296,"26,617,418","89,924"
93212,9,2025,Elec- Agricultural,Y,298,"19,840,719","66,580"
93215,7,2025,Elec- Agricultural,Y,0,0,
93215,8,2025,Elec- Agricultural,Y,0,0,
93215,9,2025,Elec- Agricultural,Y,0,0,
93219,7,2025,Elec- Agricultural,Y,0,0,
93219,8,2025,Elec- Agricultural,Y,0,0,
93219,9,2025,Elec- Agricultural,Y,0,0,
93224,7,2025,Elec- Agricultural,Y,0,0,
93224,8,2025,Elec- Agricultural,Y,0,0,
93224,9,2025,Elec- Agricultural,Y,0,0,
93225,7,2025,Elec- Agricultural,Y,0,0,
93225,8,2025,Elec- Agricultural,Y,0,0,
93225,9,2025,Elec- Agricultural,Y,0,0,
93230,7,2025,Elec- Agricultural,Y,388,"17,145,280","44,189"
93230,8,2025,Elec- Agricultural,Y,387,"17,234,090","44,533"
93230,9,2025,Elec- Agricultural,Y,395,"11,093,140","28,084"
93234,7,2025,Elec- Agricultural,Y,0,0,
93234,8,2025,Elec- Agricultural,Y,0,0,
93234,9,2025,Elec- Agricultural,Y,0,0,
93239,7,2025,Elec- Agricultural,Y,0,0,
93239,8,2025,Elec- Agricultural,Y,0,0,
93239,9,2025,Elec- Agricultural,Y,0,0,
93241,7,2025,Elec- Agricultural,Y,0,0,
93241,8,2025,Elec- Agricultural,Y,0,0,
93241,9,2025,Elec- Agricultural,Y,0,0,
93242,7,2025,Elec- Agricultural,N,215,"4,372,191","20,336"
93242,8,2025,Elec- Agricultural,Y,0,0,
93242,9,2025,Elec- Agricultural,Y,0,0,
93243,7,2025,Elec- Agricultural,Y,0,0,
93243,8,2025,Elec- Agricultural,Y,0,0,
93243,9,2025,Elec- Agricultural,Y,0,0,
93245,7,2025,Elec- Agricultural,Y,511,"7,194,780","14,080"
93245,8,2025,Elec- Agricultural,Y,628,"12,433,963","19,799"
93245,9,2025,Elec- Agricultural,Y,629,"8,525,008","13,553"
93249,7,2025,Elec- Agricultural,Y,0,0,
93249,8,2025,Elec- Agricultural,Y,0,0,
93249,9,2025,Elec- Agricultural,Y,0,0,
93250,7,2025,Elec- Agricultural,Y,0,0,
93250,8,2025,Elec- Agricultural,Y,341,"13,577,521","39,817"
93250,9,2025,Elec- Agricultural,Y,340,"10,887,020","32,021"
93251,7,2025,Elec- Agricultural,Y,0,0,
93251,8,2025,Elec- Agricultural,Y,0,0,
93251,9,2025,Elec- Agricultural,Y,0,0,
93252,7,2025,Elec- Agricultural,Y,0,0,
93252,8,2025,Elec- Agricultural,Y,0,0,
